organization_id,currency_id,symbol,unicode,name,description,created,created_by,updated,updated_by,active
684e8317-aada-45fd-ba60-06f712c59876,1cc9411d-be1f-49ad-b268-261b33fd615c,KZT,KZT,KZT,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",4/20/2016,0e5561dd-a0fc-46ec-ae5e-da0408b5a459,,,false
b0d6d111-9f3a-4015-a939-6b54d5571fb4,f3b80e81-2186-4dd3-8dc3-8e93df39413f,NGN,NGN,NGN,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5/15/2016,623d4971-6ca3-4c2b-990b-cbc88e209a6f,,,true
3ef2f097-cdf7-405d-b4fa-e204ec61bc0d,b4ec6327-ce98-4ba9-bb9b-bc41cfb93bfa,DOP,DOP,DOP,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,12/11/2015,e34e402e-c7e5-48f4-98ef-ef125fa16549,3/17/2016,aba047f4-1b84-437c-8967-b306a66c1a1a,false
3c02c027-04a2-48f1-8c6c-1e9173d273b3,eec34103-8b58-424e-9c50-dbb95fda7560,PLN,PLN,PLN,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,3/4/2016,26440ce9-fe02-4d9a-807f-ab377b8f0047,,,false
4845f675-8678-40a9-83e7-e210f58ebeec,e6b94696-06d4-4bb5-b121-b9cce0871971,PHP,PHP,PHP,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2/27/2016,f400f9ee-ca31-431d-8e46-9cb5547673a0,,,false
2d41c49c-50f1-4441-bff3-c4c37b667060,425ca133-9723-4a1e-b410-66d5fd732948,PAB,PAB,PAB,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",5/13/2016,a2d3c3ab-e3ef-4431-8289-ea9278d63fcb,,,false
097f6576-54c2-424a-8196-28c698d016b8,05824ecb-19b8-4b20-bb02-1f08cd77fa6c,SEK,SEK,SEK,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",3/24/2016,8c25e436-59bd-43cb-ace8-3c2892fab0d6,,,true
59cea1de-5b75-43ca-bbe8-d7baaafc7d5a,05e10dc6-14f5-4754-ba0c-ae810e944dcf,USD,USD,USD,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",5/11/2016,c2af1683-5f20-4024-94ed-751105d301a9,,,false
16b2236f-2b45-4164-b89c-79c91c1ac35a,c22d86ab-663d-4d91-bbb9-0670d50aa3b1,MXN,MXN,MXN,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",5/30/2016,32125e08-b0e7-4ca7-86fd-476401fc62e8,,,true
77504086-d9dd-47c2-a879-17f31ab51c48,23327e63-7100-4662-84f8-e7cc1f4faa34,VEF,VEF,VEF,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",9/6/2015,2ac361c0-db77-4a73-821d-fd798639c01b,,,false
93b95c6d-58c5-435e-acdb-968941f13778,6102828f-615f-4ae4-9a0b-5b32b2fa6704,CZK,CZK,CZK,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",6/2/2016,31acbb92-c1f3-4774-8af4-ef4b0ef0fe3a,,,false
3e56e5f4-ac29-45f9-a3cd-c18138d5e846,48ced9c5-8254-406b-91cd-08c43753af8a,BIF,BIF,BIF,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,6/23/2016,de625c43-3d57-4c9d-a421-a3fbad71bdbe,,,true
